0.080000	12.331063
0.160000	11.654620
0.240000	11.048532
0.320000	10.502366
0.400000	10.007654
0.480000	9.557452
0.560000	9.146012
0.640000	8.768534
0.720000	8.420980
0.800000	8.099927
0.880000	7.802456
0.960000	7.526060
1.040000	7.268576
1.120000	7.028128
1.200000	6.803078
1.280000	6.591994
1.360000	6.393615
1.440000	6.206827
1.520000	6.030643
1.600000	5.864185
1.680000	5.706670
1.760000	5.557395
1.840000	5.415731
1.920000	5.281109
2.000000	5.153018
2.080000	5.030993
2.160000	4.914613
2.240000	4.803497
2.320000	4.697293
2.400000	4.595685
2.480000	4.498379
2.560000	4.405108
2.640000	4.315627
2.720000	4.229708
2.800000	4.147144
2.880000	4.067741
2.960000	3.991322
3.040000	3.917721
3.120000	3.846785
3.200000	3.778373
3.280000	3.712351
3.360000	3.648597
3.440000	3.586996
3.520000	3.527440
3.600000	3.469830
3.680000	3.414071
3.760000	3.360076
3.840000	3.307762
3.920000	3.257052
4.000000	3.207874
4.080000	3.160158
4.160000	3.113842
4.240000	3.068863
4.320000	3.025165
4.400000	2.982694
4.480000	2.941399
4.560000	2.901232
4.640000	2.862148
4.720000	2.824102
4.800000	2.787055
4.880000	2.750966
4.960000	2.715801
5.040000	2.681523
5.120000	2.648100
5.200000	2.615500
5.280000	2.583692
5.360000	2.552649
5.440000	2.522343
5.520000	2.492748
5.600000	2.463840
5.680000	2.435594
5.760000	2.407989
5.840000	2.381003
5.920000	2.354614
6.000000	2.328804
6.080000	2.303554
6.160000	2.278846
6.240000	2.254662
6.320000	2.230986
6.400000	2.207801
6.480000	2.185094
6.560000	2.162849
6.640000	2.141053
6.720000	2.119691
6.800000	2.098752
6.880000	2.078222
6.960000	2.058090
7.040000	2.038344
7.120000	2.018974
7.200000	1.999968
7.280000	1.981317
7.360000	1.963010
7.440000	1.945038
7.520000	1.927393
7.600000	1.910065
7.680000	1.893046
7.760000	1.876327
7.840000	1.859901
7.920000	1.843760
8.000000	1.827897
