400.000000	9.617546	7.693054
410.000000	9.849816	7.899345
420.000000	9.702792	8.306864
430.000000	9.362758	8.835356
440.000000	8.798520	7.790857
450.000000	7.978806	6.408911
460.000000	6.819275	5.009026
470.000000	5.575077	3.853860
480.000000	4.534979	3.057287
490.000000	3.802155	2.565251
500.000000	3.352343	2.230730
510.000000	3.247369	1.958785
520.000000	3.717392	1.726358
530.000000	4.963713	1.566105
540.000000	6.915386	1.515844
550.000000	9.580176	1.589668
560.000000	13.267243	1.809287
570.000000	18.244434	2.290406
580.000000	24.279690	2.856452
590.000000	30.377972	4.421325
600.000000	35.598209	5.246902
610.000000	41.115796	6.341591
620.000000	47.409286	8.676355
630.000000	54.673622	13.109417
640.000000	62.844345	20.916544
650.000000	71.881444	33.710754
660.000000	81.318338	34.903686
670.000000	90.132407	33.295774
680.000000	98.314115	31.872196
690.000000	105.915922	30.614033
700.000000	110.146867	29.475869
710.000000	107.362938	28.425932
720.000000	100.297139	27.449201
730.000000	91.496863	26.545834
740.000000	82.612633	25.705963
750.000000	74.453238	24.929129
760.000000	67.268368	24.207565
770.000000	61.063764	23.532235
780.000000	55.702519	22.897257
790.000000	51.066794	22.298923
800.000000	47.048658	21.731198
810.000000	43.547827	21.192066
820.000000	40.487375	20.680178
830.000000	37.809169	20.197145
840.000000	35.468136	19.741637
850.000000	33.428236	19.314793
860.000000	31.652102	18.916546
870.000000	30.106725	18.546025
880.000000	28.757607	18.202309
890.000000	27.574740	17.884315
